absolute   ,-ut   ,
direct     ,-ɛkt  ,
direction  ,-ɛkʃən,
dirt       ,-ɜrt  ,
disease    ,-iz   ,
dive       ,-aɪv  ,
doc        ,-ɑk   ,
done       ,-ən   ,
door       ,-oʊr  ,
dough      ,-oʊ   ,
down       ,-aʊn  ,
downtown   ,-aʊn  ,
dream      ,-im   ,
dress      ,-ɛs   ,
drew       ,-u    ,
drill      ,-ɪl   ,
drink      ,-ɪŋk  ,
drive      ,-aɪv  ,
drop       ,-ɑp   ,
drown      ,-aʊn  ,
drum       ,-əm   ,
dry        ,-aɪ   ,
duck       ,-ək   ,
due        ,-u    ,
dumb       ,-əm   ,
ear        ,-ir   ,
earn       ,-ɜrn  ,
ease       ,-iz   ,
eat        ,-it   ,
eight      ,-eɪt  ,
election   ,-ɛkʃən,
embrace    ,-eɪs  ,
end        ,-ɛnd  ,
engineer   ,-ir   ,
enjoy      ,-ɔɪ   ,
entire     ,-aɪər ,
estate     ,-eɪt  ,
eve        ,-iv   ,
event      ,-ɛnt  ,
everyday   ,-eɪ   ,
exam       ,-æm   ,
exercise   ,-aɪz  ,
exist      ,-ɪst  ,
expect     ,-ɛkt  ,
expert     ,-ɜrt  ,
explain    ,-eɪn  ,
express    ,-ɛs   ,
extreme    ,-im   ,
eye        ,-aɪ   ,
face       ,-eɪs  ,
fail       ,-eɪl  ,
fair       ,-ɜr   ,
fake       ,-eɪk  ,
fall       ,-ɔl   ,
fame       ,-eɪm  ,
fan        ,-æn   ,
far        ,-ɑr   ,
farewell   ,-ɛl   ,
fat        ,-æt   ,
fate       ,-eɪt  ,
fear       ,-ir   ,
fed        ,-ɛd   ,
fee        ,-i    ,
feed       ,-id   ,
feel       ,-il   ,
fell       ,-ɛl   ,
fence      ,-ɛns  ,
few        ,-u    ,
fifteen    ,-in   ,
fight      ,-aɪt  ,
file       ,-aɪl  ,
fill       ,-ɪl   ,
find       ,-aɪnd ,
fine       ,-aɪn  ,
fire       ,-aɪər ,
fist       ,-ɪst  ,
fit        ,-ɪt   ,
five       ,-aɪv  ,
flame      ,-eɪm  ,
flat       ,-æt   ,
flight     ,-aɪt  ,
flip       ,-ɪp   ,
floor      ,-oʊr  ,
flow       ,-oʊ   ,
fly        ,-aɪ   ,
fold       ,-oʊld ,
folk       ,-oʊk  ,
football   ,-ɔl   ,
forget     ,-ɛt   ,
found      ,-aʊnd ,
foundation ,-eɪʃən,
four       ,-oʊr  ,
frame      ,-eɪm  ,
free       ,-i    ,
freeze     ,-iz   ,
fried      ,-id   ,
friend     ,-ɛnd  ,
fruit      ,-ut   ,
fun        ,-ən   ,
funny      ,-əni  ,
gabriel    ,-ɛl   ,
gain       ,-eɪn  ,
game       ,-eɪm  ,
gas        ,-æs   ,
gate       ,-eɪt  ,
gear       ,-ir   ,
gee        ,-i    ,
get        ,-ɛt   ,
ghost      ,-oʊst ,
girlfriend ,-ɛnd  ,
glad       ,-æd   ,
glass      ,-æs   ,
goal       ,-oʊl  ,
goat       ,-oʊt  ,
gold       ,-oʊld ,
goodbye    ,-aɪ   ,
grace      ,-eɪs  ,
grade      ,-eɪd  ,
grand      ,-ænd  ,
grandson   ,-ən   ,
grass      ,-æs   ,
gray       ,-eɪ   ,
great      ,-eɪt  ,
green      ,-in   ,
grey       ,-eɪ   ,
grief      ,-if   ,
grip       ,-ɪp   ,
groom      ,-um   ,
ground     ,-aʊnd ,
grow       ,-oʊ   ,
guarantee  ,-i    ,
guess      ,-ɛs   ,
guest      ,-ɛst  ,
guide      ,-aɪd  ,
guitar     ,-ɑr   ,
gum        ,-əm   ,
guy        ,-aɪ   ,
hail       ,-eɪl  ,
hair       ,-ɜr   ,
hall       ,-ɔl   ,
ham        ,-æm   ,
han        ,-ɑn   ,
hand       ,-ænd  ,
hat        ,-æt   ,
head       ,-ɛd   ,
headache   ,-eɪk  ,
heal       ,-il   ,
hear       ,-ir   ,
heart      ,-ɑrt  ,
heat       ,-it   ,
height     ,-aɪt  ,
hello      ,-oʊ   ,
hercules   ,-iz   ,
here       ,-ir   ,
hide       ,-aɪd  ,
high       ,-aɪ   ,
highway    ,-eɪ   ,
hill       ,-ɪl   ,
hip        ,-ɪp   ,
hire       ,-aɪər ,
hit        ,-ɪt   ,
hold       ,-oʊld ,
hole       ,-oʊl  ,
holiday    ,-eɪ   ,
honey      ,-əni  ,
honeymoon  ,-un   ,
hop        ,-ɑp   ,
host       ,-oʊst ,
hot        ,-ɑt   ,
hotel      ,-ɛl   ,
hurt       ,-ɜrt  ,
ignore     ,-oʊr  ,
ill        ,-ɪl   ,
increase   ,-is   ,
insane     ,-eɪn  ,
inside     ,-aɪd  ,
insist     ,-ɪst  ,
intend     ,-ɛnd  ,
intense    ,-ɛns  ,
interfere  ,-ir   ,
interview  ,-u    ,
invite     ,-aɪt  ,
iraq       ,-æk   ,
jack       ,-æk   ,
jail       ,-eɪl  ,
jam        ,-æm   ,
jan        ,-ɑn   ,
japan      ,-æn   ,
japanese   ,-iz   ,
jay        ,-eɪ   ,
jean       ,-in   ,
jerry      ,-ɛri  ,
jet        ,-ɛt   ,
john       ,-ɑn   ,
joke       ,-oʊk  ,
joy        ,-ɔɪ   ,
july       ,-aɪ   ,
june       ,-un   ,
karen      ,-ɛn   ,
keep       ,-ip   ,
ken        ,-ɛn   ,
key        ,-i    ,
khan       ,-ɑn   ,
kick       ,-ɪk   ,
kind       ,-aɪnd ,
king       ,-ɪŋ   ,
kit        ,-ɪt   ,
knee       ,-i    ,
knight     ,-aɪt  ,
knock      ,-ɑk   ,
know       ,-oʊ   ,
known      ,-oʊn  ,
lack       ,-æk   ,
lad        ,-æd   ,
laid       ,-eɪd  ,
lake       ,-eɪk  ,
lame       ,-eɪm  ,
land       ,-ænd  ,
lane       ,-eɪn  ,
lap        ,-æp   ,
late       ,-eɪt  ,
lay        ,-eɪ   ,
lead       ,-id   ,
leak       ,-ik   ,
learn      ,-ɜrn  ,
leave      ,-iv   ,
led        ,-ɛd   ,
lee        ,-i    ,
lend       ,-ɛnd  ,
leon       ,-ɔŋ   ,
less       ,-ɛs   ,
let        ,-ɛt   ,
liar       ,-aɪər ,
library    ,-ɛri  ,
lick       ,-ɪk   ,
lie        ,-i    ,
lied       ,-id   ,
lifetime   ,-aɪm  ,
light      ,-aɪt  ,
like       ,-aɪk  ,
line       ,-aɪn  ,
ling       ,-ɪŋ   ,
link       ,-ɪŋk  ,
lip        ,-ɪp   ,
list       ,-ɪst  ,
lit        ,-ɪt   ,
live       ,-aɪv  ,
loan       ,-oʊn  ,
location   ,-eɪʃən,
lock       ,-ɑk   ,
long       ,-ɔŋ   ,
lot        ,-ɑt   ,
low        ,-oʊ   ,
luck       ,-ək   ,
mac        ,-æk   ,
machine    ,-in   ,
mad        ,-æd   ,
madame     ,-ɑm   ,
made       ,-eɪd  ,
magazine   ,-in   ,
maid       ,-eɪd  ,
mail       ,-eɪl  ,
main       ,-eɪn  ,
maintain   ,-eɪn  ,
make       ,-eɪk  ,
male       ,-eɪl  ,
mall       ,-ɔl   ,
man        ,-ɑn   ,
mankind    ,-aɪnd ,
map        ,-æp   ,
marine     ,-in   ,
mass       ,-æs   ,
matt       ,-æt   ,
may        ,-eɪ   ,
meal       ,-il   ,
mean       ,-in   ,
meanwhile  ,-aɪl  ,
meat       ,-it   ,
meet       ,-it   ,
men        ,-ɛn   ,
merry      ,-ɛri  ,
mess       ,-ɛs   ,
mick       ,-ɪk   ,
midnight   ,-aɪt  ,
might      ,-aɪt  ,
mike       ,-aɪk  ,
mile       ,-aɪl  ,
mind       ,-aɪnd ,
mine       ,-aɪn  ,
ming       ,-ɪŋ   ,
mission    ,-ɪʃən ,
mistake    ,-eɪk  ,
mobile     ,-il   ,
mom        ,-ɑm   ,
mon        ,-oʊn  ,
money      ,-əni  ,
moon       ,-un   ,
more       ,-oʊr  ,
most       ,-oʊst ,
motel      ,-ɛl   ,
mum        ,-əm   ,
nail       ,-eɪl  ,
naive      ,-iv   ,
name       ,-eɪm  ,
nation     ,-eɪʃən,
near       ,-ir   ,
nearby     ,-aɪ   ,
need       ,-id   ,
nest       ,-ɛst  ,
net        ,-ɛt   ,
new        ,-u    ,
nice       ,-is   ,
nick       ,-ɪk   ,
niece      ,-is   ,
night      ,-aɪt  ,
nine       ,-aɪn  ,
none       ,-oʊn  ,
noon       ,-un   ,
note       ,-oʊt  ,
now        ,-aʊ   ,
nowadays   ,-eɪz  ,
nowhere    ,-ɜr   ,
nurse      ,-ɜrs  ,
obey       ,-eɪ   ,
objection  ,-ɛkʃən,
offense    ,-ɛns  ,
old        ,-oʊld ,
one        ,-ən   ,
operate    ,-eɪt  ,
otherwise  ,-aɪz  ,
outfit     ,-ɪt   ,
owe        ,-oʊ   ,
own        ,-oʊn  ,
pack       ,-æk   ,
paid       ,-eɪd  ,
pain       ,-eɪn  ,
palm       ,-ɑm   ,
pan        ,-æn   ,
part       ,-ɑrt  ,
pass       ,-æs   ,
pat        ,-æt   ,
patrol     ,-oʊl  ,
paul       ,-ɔl   ,
pay        ,-eɪ   ,
peace      ,-is   ,
pen        ,-ɛn   ,
percent    ,-ɛnt  ,
permission ,-ɪʃən ,
pet        ,-ɛt   ,
phase      ,-eɪz  ,
phone      ,-oʊn  ,
pick       ,-ɪk   ,
pie        ,-aɪ   ,
piece      ,-is   ,
pile       ,-aɪl  ,
pill       ,-ɪl   ,
pin        ,-ɪn   ,
pink       ,-ɪŋk  ,
pit        ,-ɪt   ,
plain      ,-eɪn  ,
plan       ,-æn   ,
plane      ,-eɪn  ,
plate      ,-eɪt  ,
play       ,-eɪ   ,
please     ,-iz   ,
plot       ,-ɑt   ,
pole       ,-oʊl  ,
police     ,-is   ,
polite     ,-aɪt  ,
poor       ,-ʊr   ,
pop        ,-ɑp   ,
port       ,-oʊrt ,
position   ,-ɪʃən ,
post       ,-oʊst ,
pot        ,-ɑt   ,
pound      ,-aʊnd ,
pour       ,-oʊr  ,
praise     ,-eɪz  ,
pray       ,-eɪ   ,
prefer     ,-ɜr   ,
prepare    ,-ɜr   ,
press      ,-ɛs   ,
pretend    ,-ɛnd  ,
prevent    ,-ɛnt  ,
pride      ,-aɪd  ,
prime      ,-aɪm  ,
prize      ,-aɪz  ,
pro        ,-oʊ   ,
proceed    ,-id   ,
prom       ,-ɑm   ,
protect    ,-ɛkt  ,
protection ,-ɛkʃən,
provide    ,-aɪd  ,
pure       ,-ʊr   ,
purse      ,-ɜrs  ,
queen      ,-in   ,
quick      ,-ɪk   ,
quit       ,-ɪt   ,
race       ,-eɪs  ,
radio      ,-oʊ   ,
rain       ,-eɪn  ,
raise      ,-eɪz  ,
ram        ,-æm   ,
rap        ,-æp   ,
rare       ,-ɜr   ,
rat        ,-æt   ,
rate       ,-eɪt  ,
ray        ,-eɪ   ,
read       ,-id   ,
realise    ,-aɪz  ,
realize    ,-aɪz  ,
rear       ,-ir   ,
receive    ,-iv   ,
recognize  ,-aɪz  ,
recommend  ,-ɛnd  ,
red        ,-ɛd   ,
regret     ,-ɛt   ,
release    ,-is   ,
relief     ,-if   ,
remain     ,-eɪn  ,
remind     ,-aɪnd ,
remote     ,-oʊt  ,
rent       ,-ɛnt  ,
repair     ,-ɜr   ,
repeat     ,-it   ,
replace    ,-eɪs  ,
report     ,-oʊrt ,
reporter   ,-oʊr  ,
represent  ,-ɛnt  ,
request    ,-ɛst  ,
resist     ,-ɪst  ,
respect    ,-ɛkt  ,
rest       ,-ɛst  ,
retreat    ,-it   ,
return     ,-ɜrn  ,
reveal     ,-il   ,
reverse    ,-ɜrs  ,
review     ,-u    ,
rick       ,-ɪk   ,
ride       ,-aɪd  ,
right      ,-aɪt  ,
ring       ,-ɪŋ   ,
rip        ,-ɪp   ,
rise       ,-aɪz  ,
rock       ,-ɑk   ,
role       ,-oʊl  ,
roll       ,-oʊl  ,
romeo      ,-oʊ   ,
room       ,-um   ,
root       ,-ut   ,
rot        ,-ɑt   ,
round      ,-aʊnd ,
route      ,-ut   ,
routine    ,-in   ,
row        ,-aʊ   ,
run        ,-ən   ,
sad        ,-æd   ,
sake       ,-eɪk  ,
sale       ,-eɪl  ,
sam        ,-æm   ,
same       ,-eɪm  ,
sand       ,-ænd  ,
sat        ,-æt   ,
satisfied  ,-aɪd  ,
save       ,-eɪv  ,
say        ,-eɪ   ,
scale      ,-eɪl  ,
scar       ,-ɑr   ,
scare      ,-ɜr   ,
scene      ,-in   ,
score      ,-oʊr  ,
scott      ,-ɑt   ,
scream     ,-im   ,
screen     ,-in   ,
sea        ,-i    ,
seal       ,-il   ,
seat       ,-it   ,
section    ,-ɛkʃən,
secure     ,-ʊr   ,
see        ,-i    ,
seek       ,-ik   ,
seem       ,-im   ,
sell       ,-ɛl   ,
send       ,-ɛnd  ,
sense      ,-ɛns  ,
sent       ,-ɛnt  ,
set        ,-ɛt   ,
shake      ,-eɪk  ,
shame      ,-eɪm  ,
share      ,-ɜr   ,
shave      ,-eɪv  ,
shed       ,-ɛd   ,
sheep      ,-ip   ,
shell      ,-ɛl   ,
shine      ,-aɪn  ,
ship       ,-ɪp   ,
shirt      ,-ɜrt  ,
shock      ,-ɑk   ,
shoe       ,-u    ,
shoot      ,-ut   ,
shop       ,-ɑp   ,
shore      ,-oʊr  ,
shot       ,-ɑt   ,
show       ,-oʊ   ,
shy        ,-aɪ   ,
sick       ,-ɪk   ,
side       ,-aɪd  ,
sight      ,-aɪt  ,
sign       ,-aɪn  ,
sin        ,-in   ,
sing       ,-ɪŋ   ,
sink       ,-ɪŋk  ,
sir        ,-ɜr   ,
sit        ,-ɪt   ,
site       ,-aɪt  ,
size       ,-aɪz  ,
skin       ,-ɪn   ,
skip       ,-ɪp   ,
skirt      ,-ɜrt  ,
sky        ,-aɪ   ,
slap       ,-æp   ,
slave      ,-eɪv  ,
sleep      ,-ip   ,
slide      ,-aɪd  ,
slip       ,-ɪp   ,
slow       ,-oʊ   ,
small      ,-ɔl   ,
smart      ,-ɑrt  ,
smell      ,-ɛl   ,
smile      ,-aɪl  ,
smoke      ,-oʊk  ,
snake      ,-eɪk  ,
snap       ,-æp   ,
sneak      ,-ik   ,
snow       ,-oʊ   ,
sold       ,-oʊld ,
some       ,-əm   ,
sometime   ,-aɪm  ,
song       ,-ɔŋ   ,
sonny      ,-əni  ,
soul       ,-oʊl  ,
sound      ,-aʊnd ,
spain      ,-eɪn  ,
spare      ,-ɜr   ,
speak      ,-ik   ,
speed      ,-id   ,
spell      ,-ɛl   ,
spend      ,-ɛnd  ,
spent      ,-ɛnt  ,
spin       ,-ɪn   ,
spit       ,-ɪt   ,
split      ,-it   ,
spoke      ,-oʊk  ,
sport      ,-oʊrt ,
spot       ,-ɑt   ,
spread     ,-ɛd   ,
spring     ,-ɪŋ   ,
spy        ,-aɪ   ,
square     ,-ɜr   ,
squeeze    ,-iz   ,
stake      ,-eɪk  ,
stand      ,-ænd  ,
star       ,-ɑr   ,
stare      ,-ɜr   ,
start      ,-ɑt   ,
state      ,-eɪt  ,
station    ,-eɪʃən,
stay       ,-eɪ   ,
steak      ,-eɪk  ,
steal      ,-il   ,
steel      ,-il   ,
stick      ,-ɪk   ,
still      ,-ɪl   ,
stink      ,-ɪŋk  ,
stock      ,-ɑk   ,
stole      ,-oʊl  ,
stone      ,-oʊn  ,
stop       ,-ɑp   ,
store      ,-oʊr  ,
street     ,-it   ,
stress     ,-ɛs   ,
strike     ,-aɪk  ,
string     ,-ɪŋ   ,
stroke     ,-oʊk  ,
strong     ,-ɔŋ   ,
struck     ,-ək   ,
stuck      ,-ək   ,
style      ,-aɪl  ,
succeed    ,-id   ,
success    ,-ɛs   ,
sue        ,-u    ,
suffering  ,-ɪŋ   ,
suggest    ,-ɛst  ,
suit       ,-ut   ,
suitcase   ,-eɪs  ,
sum        ,-əm   ,
sun        ,-ən   ,
sunny      ,-əni  ,
sunshine   ,-aɪn  ,
supply     ,-aɪ   ,
support    ,-oʊrt ,
sure       ,-ʊr   ,
surprise   ,-aɪz  ,
survive    ,-aɪv  ,
suspect    ,-ɛkt  ,
sweat      ,-ɛt   ,
sweet      ,-it   ,
sweetheart ,-ɑrt  ,
swing      ,-ɪŋ   ,
tail       ,-eɪl  ,
take       ,-eɪk  ,
tale       ,-eɪl  ,
tall       ,-ɔl   ,
tap        ,-æp   ,
tea        ,-i    ,
team       ,-im   ,
tear       ,-ɜr   ,
technique  ,-ik   ,
ted        ,-ɛd   ,
telephone  ,-oʊn  ,
tell       ,-ɛl   ,
ten        ,-ɛn   ,
tend       ,-ɛnd  ,
tense      ,-ɛns  ,
tent       ,-ɛnt  ,
terry      ,-ɛri  ,
test       ,-ɛst  ,
theme      ,-im   ,
then       ,-ɛn   ,
there      ,-ɜr   ,
thick      ,-ɪk   ,
thief      ,-if   ,
thin       ,-ɪn   ,
thing      ,-ɪŋ   ,
think      ,-ɪŋk  ,
thou       ,-aʊ   ,
threat     ,-ɛt   ,
three      ,-i    ,
throat     ,-oʊt  ,
through    ,-u    ,
throw      ,-oʊ   ,
thrown     ,-oʊn  ,
thumb      ,-əm   ,
tie        ,-aɪ   ,
tied       ,-aɪd  ,
tight      ,-aɪt  ,
till       ,-ɪl   ,
time       ,-aɪm  ,
tin        ,-ɪn   ,
tip        ,-ɪp   ,
tire       ,-aɪər ,
toast      ,-oʊst ,
today      ,-eɪ   ,
toe        ,-oʊ   ,
tokyo      ,-oʊ   ,
tom        ,-ɑm   ,
tone       ,-oʊn  ,
tonight    ,-aɪt  ,
top        ,-ɑp   ,
tour       ,-ʊr   ,
town       ,-aʊn  ,
trace      ,-eɪs  ,
track      ,-æk   ,
trade      ,-eɪd  ,
tradition  ,-ɪʃən ,
trail      ,-eɪl  ,
train      ,-eɪn  ,
transport  ,-oʊrt ,
trap       ,-æp   ,
treat      ,-it   ,
tree       ,-i    ,
trick      ,-ɪk   ,
tried      ,-aɪd  ,
trip       ,-ɪp   ,
troy       ,-ɔɪ   ,
truck      ,-ək   ,
try        ,-aɪ   ,
tune       ,-un   ,
turn       ,-ɜrn  ,
twin       ,-ɪn   ,
twist      ,-ɪst  ,
two        ,-u    ,
understand ,-ænd  ,
underwear  ,-ɜr   ,
unfair     ,-ɜr   ,
universe   ,-ɜrs  ,
unknown    ,-oʊn  ,
unlike     ,-aɪk  ,
upset      ,-ɛt   ,
upside     ,-aɪd  ,
vacation   ,-eɪʃən,
vain       ,-eɪn  ,
van        ,-ɑn   ,
very       ,-ɛri  ,
video      ,-oʊ   ,
vietnam    ,-ɑm   ,
view       ,-u    ,
vote       ,-oʊt  ,
wait       ,-eɪt  ,
wake       ,-eɪk  ,
wall       ,-ɔl   ,
war        ,-ɑR   ,
wave       ,-eɪv  ,
way        ,-eɪ   ,
wayne      ,-eɪn  ,
ways       ,-eɪz  ,
weak       ,-ik   ,
wear       ,-ɜr   ,
wee        ,-i    ,
week       ,-ik   ,
weekend    ,-ɛnd  ,
weight     ,-eɪt  ,
well       ,-ɛl   ,
west       ,-ɛst  ,
wet        ,-ɛt   ,
whale      ,-eɪl  ,
wheel      ,-il   ,
while      ,-aɪl  ,
white      ,-aɪt  ,
who        ,-u    ,
whole      ,-oʊl  ,
why        ,-aɪ   ,
wide       ,-aɪd  ,
will       ,-ɪl   ,
win        ,-ɪn   ,
wine       ,-aɪn  ,
wing       ,-ɪŋ   ,
wire       ,-aɪər ,
wise       ,-aɪz  ,
won        ,-ən   ,
woo        ,-u    ,
worse      ,-ɜrs  ,
wow        ,-aʊ   ,
wrap       ,-æp   ,
write      ,-aɪt  ,
wrong      ,-ɔŋ   ,
xylophone  ,-oʊn  ,
year       ,-ir   ,
yell       ,-ɛl   ,
yen        ,-ɛn   ,
yes        ,-ɛs   ,
zone       ,-oʊn  ,
zoo        ,-u    ,
